"17","Next plc","NXT.L","14596350132","115.477","United Kingdom"
"23","JD Sports Fashion","JD.L","8281252488","1.59773","United Kingdom"
"34","Burberry","BRBY.L","4080042933","11.3782","United Kingdom"
"38","Capri Holdings","CPRI","3786426368","32.46","United Kingdom"
"70","Boohoo Group","BOO.L","554201024","0.436767","United Kingdom"
"71","ASOS","ASC.L","548675915","4.59782","United Kingdom"
"106","Perfect Moment","PMNT","33654812","2.15","United Kingdom"
